FIPCO,TotPop
"5-DIGIT COUNTY FIPS CD" ,"Total Persons"
13183,6202
13185,75981
13187,14573
13189,20119
13191,8634
13193,13114
13195,21050
13197,5590
13199,22411
13201,6280
13205,20275
13207,17113
13209,7163
13211,12883
13213,26147
13215,179278
13217,41808
13219,17618
13221,9763
13223,41611
13225,21189
13227,14432
13229,13328
13231,10224
13233,33815
13235,8108
13237,14137
13239,2209
13241,11648
13243,8023
13245,189719
13247,54091
13249,3588
13251,13842
13253,9010
13255,54457
13257,23257
13259,5654
13261,30228
13263,6524
13265,1915
13267,17722
13269,7642
13271,11000
13273,10653
13275,38986
13277,34998
13279,24072
13281,6754
13283,5994
13285,55536
13287,8703
13289,9806
13291,11993
13293,26300
13295,58340
13297,38586
13299,35471
13301,6078
13303,19112
13305,22356
13307,2263
13309,4903
13311,13006
13313,72462
13315,7008
13317,10597
13319,10228
13321,19745
15001,120317
15003,836231
15005,130
15007,51177
15009,100374
16001,205775
16003,3254
16005,66026
16007,6084
16009,7937
16011,37583
16013,13552
16015,3509
16017,26622
16019,72207
16021,8332
16023,2918
16025,727
16027,90076
16029,6963
16031,19532
16033,762
16035,8505
16037,4133
16039,21205
16041,9232
16043,10937
16045,11844
16047,11633
16049,13783
16051,16543
16053,15138
16055,69795
16057,30617
16059,6899
16061,3516
16063,3308
16065,23674
16067,19361
16069,33754
16071,3492
16073,8392
16075,16434
16077,7086
16079,13931
16081,3439
16083,53580
16085,6109
16087,8550
17001,66090
17003,10626
17005,14991
17007,30806
17009,5836
17011,35688
17013,5322
17015,16805
17017,13437
17019,173025
17021,34418
17023,15921
17025,14460
17027,33944
17029,51644
17031,5105067
17033,19464
17035,10670
17037,77932
17039,16516
17041,19464
17043,781666
17045,19595
17047,7440
17049,31704
17051,20893
17053,14275
17055,40319
17057,38080
17059,6909
17061,15317
17063,32337
17065,8499
17067,21373
17069,5189
17071,8096
17073,51159
17075,30787
17077,61067
17079,10609
17081,37020
17083,20539
17085,21821
17087,11347
17089,317471
17091,96255
17093,39413
17095,56393
17097,516418
17099,106913
17101,15972
17103,34392
17105,39301
17107,30798
17109,35244
17111,183241
17113,129180
17115,117206
17117,47679
17119,249238
17121,41561
17123,12846
17125,16269
17127,14752
17129,11164
17131,17290
17133,22422
17135,30728
17137,36397
17139,13930
17141,45957
17143,182827
17145,21412
17147,15548
17149,17577
17151,4373
17153,7523
17155,5730
17157,34583
17159,16545
17161,148723
17163,262852
17165,26551
17167,178386
17169,7498
17171,5644
17173,22261
17175,6534
17177,48052
17179,123692
17181,17619
17183,88257
17185,13111
17187,19181
17189,14965
17191,17241
17193,16522
17195,60186
17197,357313
17199,57733
17201,252913
17203,32653
18001,31095
18003,300836
18005,63657
18007,9441
18009,14067
18011,38147
18013,14080
18015,18809
18017,38413
18019,87777
18021,24705
18023,30974
18025,9914
18027,27533
18029,38835
18031,23645
18033,35324
18035,119659
18037,36616
18039,156198
18041,26015
18043,64404
18045,17808
18047,19580
18049,18840
